ID,country_group,lead type ,lead type,User_grade2,Custom_link ,User_type2,Age of lead,Win/Loss
1,ROW,Outbound Calls,UP,B7,0,B,16,0
2,India,Phone,Phone,B7,0,B,40,0
3,India,www.google.co.in,TR,B7,0,A,10,0
4,India,Dir,Blank,B7,0,A,1,0
5,India,www.google.co.in,TR,B1,0,A,10,0
6,India,intercom-intercom,Intercom,B7,0,A,10,0
7,India,www.google.co.in,IN,B1,0,B,0,1
8,India,Dir,EN,B7,0,B,56,0
9,India,google-search,TR,B1,0,A,1,0
10,India,www.google.co.in,TR,B2,0,A,10,0
11,India,Dir,IN,B5,0,A,5,0
12,India,Dir,GC,B7,0,A,10,0
13,India,Direct,Phone,B2,1,A,4,1
14,India,google-search,HS,B1,0,A,4,0
15,India,www.youtube.com,HS,B7,0,B,9,0
16,India,email,EN,B4,0,B,-4,0
17,India,email,EN,B4,0,B,10,0
18,India,google-search,TR,B4,0,A,10,0
19,India,intercom-intercom,Intercom,B7,0,A,10,0
20,India,simpleprogrammer.com,TR,B7,0,B,11,0
21,India,Dir,HS,B7,0,A,3,0
22,India,Phone,Phone,B7,1,A,9,1
23,India,Dir,GC,B7,0,A,5,0
24,India,facebook-intercom,Intercom,B5,0,C,10,0
25,ROW,Dir,IN,B4,0,C,3,0
26,United States,Dir,EN,B7,0,A,82,0
27,India,Dir,HS,B5,0,B,10,0
28,India,Direct,HS,B5,0,B,10,0
29,India,Dir,HS,B6,0,B,10,0
30,India,Dir,GC,B7,0,A,10,0
31,United States,android-app,IN,B1,0,A,17,0
32,ROW,direct sales-NityoUS,Affiliate,B7,0,B,43,0
33,ROW,NityoUS,Blank,B7,0,A,43,0
34,India,Dir,EN,B6,0,C,2,1
35,India,Dir,TR,B6,0,C,4,0
36,India,android-app,TR,B5,0,B,10,0
37,India,android-app,IN,B7,0,A,35,0
38,India,Custom Payment Link,Custom Link,B4,1,B,-16,0
39,India,Custom Payment Link,Custom Link,B4,1,B,92,0
40,India,google-search,HS,B7,0,A,5,0
41,India,google-search,TR,B7,0,B,10,0
42,India,Dir,IN,B7,0,A,2,0
43,India,google-search,TR,B2,0,A,28,0
44,United States,bing,HS,B2,0,A,10,0
45,India,www.google.co.in,HS,B7,0,A,11,0
46,India,blog,BS,B7,0,A,10,0
47,India,Dir,TR,B4,0,A,2,0
48,India,www.google.com,TR,B1,0,A,10,0
49,India,Phone,Phone,B7,0,A,8,0
50,India,Dir,TR,B1,0,A,7,0
51,India,Dir,IN,B3,0,B,10,0
52,India,Dir,HS,B7,0,A,10,0
53,India,Dir,EN,B4,0,A,29,0
54,India,www.google.co.in,TR,B7,0,A,7,0
55,India,google-search,TR,B7,0,A,3,0
56,India,Dir,HS,B7,0,C,41,0
57,United States,Phone,Phone,B7,0,A,3,0
58,India,Phone,Phone,B7,0,A,68,0
59,United States,Phone,Phone,B7,0,A,2,0
60,India,Dir,GC,B7,0,A,10,0
61,India,Dir,TR,B1,0,A,13,0
62,United States,www.google.com,IN,B4,0,A,57,0
63,ROW,intercom-intercom,Intercom,B7,0,A,10,0
64,India,www.google.co.in,TR,B1,0,A,13,0
65,India,intercom-intercom,Intercom,B7,0,A,10,0
66,India,Phone,Phone,B7,0,A,24,0
67,India,Dir,TR,B7,0,A,109,0
68,India,Direct,HS,B7,0,A,2,0
69,India,www.google.co.in,EN,B7,0,B,10,0
70,India,www.google.co.in,EN,B5,0,A,10,0
71,India,Dir,TR,B7,0,A,4,0
72,India,Referral_Program,HS,B7,0,A,101,0
73,India,bing,IN,B7,0,A,9,0
74,India,Dir,TR,B2,0,A,10,0
75,India,Phone,Phone,B7,0,A,45,0
76,India,google-search,TR,B7,0,A,10,0
77,India,google-search,TR,B7,0,B,10,0
78,India,Dir,HS,B1,1,A,7,1
79,United States,Dir,TR,B3,0,A,9,0
80,India,google-search,EN,B1,0,A,8,0
81,ROW,app,HS,B7,0,A,98,0
82,India,android-app,TR,B3,0,B,10,0
83,India,Referral,HS,B7,0,A,81,0
84,India,www.youtube.com,IN,B7,0,A,19,0
85,India,www.google.co.in,EN,B6,0,C,0,1
86,India,Dir,EN,B6,0,C,10,0
87,United States,Phone,Phone,B7,0,A,6,0
88,India,google-search,HS,B7,0,A,62,0
89,India,www.google.co.in,EN,B7,0,A,8,0
90,ROW,blog,BS,B7,0,A,8,0
